"match_id","time","home_fault","card","away_fault","info"
24599,"56","Adjapong C. ","yellow card","",NA
30350,"16","","yellow card"," Berghuis S.",NA
30350,"23","","yellow card"," van der Heijden J-A.",NA
30350,"43","","red card"," Berghuis S.",NA
30350,"50","Bergwijn S. ","yellow card","",NA
30350,"60","","yellow card"," Haps R.",NA
30350,"68","","yellow card"," Toornstra J.",NA
30350,"87","Ramselaar B. ","yellow card","",NA
30351,"21","Miazga M. ","yellow card","",NA
30351,"38","","yellow card"," Labylle L.",NA
30351,"88","van der Werff M. ","yellow card","",NA
30351,"89","Kashia G. ","yellow card","",NA
30351,"90","Pasveer R. ","yellow card","",NA
30351,"90+1","Matavz T. ","yellow card","",NA
30352,"2","","yellow card"," Kluivert J.",NA
30352,"34","Immers L. ","yellow card","",NA
30352,"38","Beugelsdijk T. ","yellow card","",NA
30352,"57","","yellow card"," Veltman J.",NA
30352,"60","","yellow card"," van de Beek D.",NA
30352,"87","Becker S. ","yellow card","",NA
30352,"87","","yellow card"," Schone L.",NA
30353,"59","","yellow card"," Janssen W.",NA
30353,"66","","yellow card"," Ayoub Y.",NA
30353,"80","Lam T. ","yellow card","",NA
41189,"36","Llorente D. ","yellow card","",NA
41189,"42","Illarramendi A. ","yellow card","",NA
41189,"45","Januzaj A. ","yellow card","",NA
41192,"45","","yellow card"," Hernandez R.",NA
41192,"67","","yellow card"," Ruiz V.",NA
41192,"80","Sobrino R. ","yellow card","",NA
41192,"90+3","Alfonso ","yellow card","",NA
45292,"27","","yellow card"," Neto",NA
45292,"45","","yellow card"," Souza",NA
45292,"79","","yellow card"," Kameni I. C.",NA
45293,"21","","yellow card"," Issah K.",NA
45293,"57","Gouffran Y. ","yellow card","",NA
45293,"59","Jahovic A. ","yellow card","",NA
45293,"76","","yellow card"," N'Diaye O.",NA
45293,"90","","yellow card"," Oguz A.",NA
45293,"90+4","Akbunar H. ","yellow card","",NA
45293,"90+4","","yellow card"," Yavru Z.",NA
45294,"13","Adebayor E. ","yellow card","",NA
45294,"22","Tekdemir M. ","yellow card","",NA
45294,"52","Clichy G. ","yellow card","",NA
45294,"63","Attamah J. ","yellow card","",NA
45294,"71","Caicara J. ","yellow card","",NA
45294,"77","","yellow card"," Mas E.",NA
45294,"89","","yellow card"," Yilmaz B.",NA
